Date,Open,High,Low,Close
2023-01-01,100,105,95,102
2023-01-02,102,110,100,105
2023-01-03,105,108,100,105
2023-01-04,105,115,105,112
2023-01-05,112,118,110,115
2023-01-06,115,120,112,117
2023-01-07,117,122,112,120
2023-01-08,120,125,116,122
2023-01-09,122,128,118,125
2023-01-10,125,130,120,128
2023-01-11,128,135,122,130
2023-01-12,130,137,125,132
2023-01-13,132,140,128,134
2023-01-14,134,142,130,137
2023-01-15,137,145,132,140
2023-01-16,140,147,135,142
2023-01-17,142,148,138,144
2023-01-18,144,150,140,145
2023-01-19,145,152,142,148
2023-01-20,148,155,145,150
2023-01-21,150,158,148,152
2023-01-22,152,160,150,155
2023-01-23,155,162,152,158
2023-01-24,158,165,155,160
2023-01-25,160,168,158,162
2023-01-26,162,170,160,165
2023-01-27,165,173,162,168
2023-01-28,168,176,165,170
2023-01-29,170,178,168,172
2023-01-30,172,180,170,175
2023-01-31,175,183,172,178
2023-02-01,178,185,175,180
2023-02-02,180,188,178,182
2023-02-03,182,190,180,185
2023-02-04,185,193,182,188
2023-02-05,188,196,185,190
2023-02-06,190,198,188,192
2023-02-07,192,200,190,195
2023-02-08,195,203,192,198
2023-02-09,198,205,195,200
2023-02-10,200,208,198,202
2023-02-11,202,210,200,205
2023-02-12,205,213,202,208
2023-02-13,208,215,205,210
2023-02-14,210,218,208,212
2023-02-15,212,220,210,215
2023-02-16,215,223,212,218
2023-02-17,218,225,215,220
2023-02-18,220,228,218,222
2023-02-19,222,230,220,225
2023-02-20,225,233,222,228
2023-02-21,228,235,225,230
2023-02-22,230,238,228,233
2023-02-23,233,240,230,236
2023-02-24,236,243,233,238
2023-02-25,238,245,236,241
2023-02-26,241,248,238,244
2023-02-27,244,250,241,246
2023-02-28,246,253,244,249
2023-03-01,249,255,246,252
2023-03-02,252,258,249,254
2023-03-03,254,260,252,257
2023-03-04,257,263,254,260
2023-03-05,260,265,257,263
2023-03-06,263,268,260,265
2023-03-07,265,270,263,268
2023-03-08,268,273,265,271
2023-03-09,271,276,268,273
2023-03-10,273,278,271,275
2023-03-11,275,281,273,278
2023-03-12,278,284,275,280
2023-03-13,280,286,278,283
2023-03-14,283,289,280,285
2023-03-15,285,291,283,288
2023-03-16,288,294,285,290
2023-03-17,290,297,288,293
2023-03-18,293,299,290,296
2023-03-19,296,302,293,298
2023-03-20,298,304,296,301
2023-03-21,301,307,298,303
2023-03-22,303,309,301,306
2023-03-23,306,312,303,309
2023-03-24,309,315,306,311
2023-03-25,311,317,309,314
2023-03-26,314,320,311,317
2023-03-27,317,323,314,319
2023-03-28,319,325,317,322
2023-03-29,322,328,319,324
2023-03-30,324,330,322,327
2023-03-31,327,333,324,330
2023-04-01,330,335,327,332
2023-04-02,332,338,330,335
2023-04-03,335,340,332,338
2023-04-04,338,343,335,341
2023-04-05,341,345,338,343
2023-04-06,343,348,341,346
2023-04-07,346,351,343,349
2023-04-08,349,354,346,352
2023-04-09,352,358,349,355
2023-04-10,355,362,352,358
2023-04-11,358,365,355,361
2023-04-12,361,368,358,363
2023-04-13,363,371,361,366
2023-04-14,366,374,363,369
2023-04-15,369,378,366,372
2023-04-16,372,381,369,375
2023-04-17,375,384,372,378
2023-04-18,378,387,375,381
2023-04-19,381,390,378,384
2023-04-20,384,393,381,387
2023-04-21,387,396,384,390
2023-04-22,390,399,387,393
2023-04-23,393,402,390,396
2023-04-24,396,405,393,399
2023-04-25,399,408,396,402
2023-04-26,402,411,399,405
2023-04-27,405,414,402,408
2023-04-28,408,417,405,411
2023-04-29,411,420,408,414
2023-04-30,414,423,411,417
2023-05-01,417,426,414,420
2023-05-02,420,429,417,423
2023-05-03,423,432,420,426
2023-05-04,426,435,423,429
2023-05-05,429,438,426,432
2023-05-06,432,441,429,435
2023-05-07,435,444,432,438
2023-05-08,438,447,435,441
2023-05-09,441,450,438,444
2023-05-10,444,453,441,447
2023-05-11,447,456,444,450
2023-05-12,450,459,447,453
2023-05-13,453,462,450,456
2023-05-14,456,465,453,459
2023-05-15,459,468,456,462
2023-05-16,462,471,459,465
2023-05-17,465,474,462,468
2023-05-18,468,477,465,471
2023-05-19,471,480,468,474
2023-05-20,474,483,471,477
2023-05-21,477,486,474,480
2023-05-22,480,489,477,483
2023-05-23,483,492,480,486
2023-05-24,486,495,483,489
2023-05-25,489,498,486,492
2023-05-26,492,501,489,495
2023-05-27,495,504,492,498
2023-05-28,498,507,495,501
2023-05-29,501,510,498,504
2023-05-30,504,513,501,507
2023-05-31,507,516,504,510
2023-06-01,510,519,507,513
2023-06-02,513,522,510,516
2023-06-03,516,525,513,519
2023-06-04,519,528,516,522
2023-06-05,522,531,519,525
2023-06-06,525,534,522,528
2023-06-07,528,537,525,531
2023-06-08,531,540,528,534
2023-06-09,534,543,531,537
2023-06-10,537,546,534,540
2023-06-11,540,549,537,543
2023-06-12,543,552,540,546
2023-06-13,546,555,543,549
2023-06-14,549,558,546,552
2023-06-15,552,561,549,555
2023-06-16,555,564,552,558
2023-06-17,558,567,555,561
2023-06-18,561,570,558,564
2023-06-19,564,573,561,567
2023-06-20,567,576,564,570
2023-06-21,570,579,567,573
2023-06-22,573,582,570,576
2023-06-23,576,585,573,579
2023-06-24,579,588,576,582
2023-06-25,582,591,579,585
2023-06-26,585,594,582,588
2023-06-27,588,597,585,591
2023-06-28,591,600,588,594
2023-06-29,594,603,591,597
